MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2136171	Aff4	AF4/FMR2 family, member 4	11		fibrillar center			ISO	Q9UHB7 	J:164563 	
MGI:893592	Ager	advanced glycosylation end product-specific receptor	17		fibrillar center			ISO	Q15109 	J:164563 	
MGI:1196345	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	8		nucleolus			ISO	Q9NUQ2 	J:164563 	
MGI:2443065	Agps	alkylglycerone phosphate synthase	2		nucleolus			ISO	O00116 	J:164563 	
MGI:2159437	Agtpbp1	ATP/GTP binding protein 1	13		nucleolus			ISO	Q9UPW5 	J:164563 	
MGI:1928488	Akap8	A kinase (PRKA) anchor protein 8	17		nucleolus			ISO	O43823 	J:164563 	
MGI:2684060	Akap11	A kinase (PRKA) anchor protein 11	14		nucleolus			ISO	Q9UKA4 	J:164563 	
MGI:2140340	Akna	AT-hook transcription factor	4		fibrillar center			ISO	Q7Z591 	J:164563 	
MGI:1913406	Anapc11	anaphase promoting complex subunit 11	11		nucleolus			ISO	Q9NYG5 	J:164563 	
MGI:88022	Ang	angiogenin, ribonuclease, RNase A family, 5	14		nucleolus			ISO	P03950 	J:164563 	
MGI:104984	Ang2	angiogenin, ribonuclease A family, member 2	14		nucleolus			ISO	P03950 	J:164563 	
MGI:1201793	Ang3	angiogenin, ribonuclease A family, member 3	14		nucleolus			ISO	P03950 	J:164563 	
MGI:2656551	Ang4	angiogenin, ribonuclease A family, member 4	14		nucleolus			ISO	P03950 	J:164563 	
MGI:3528602	Ang6	angiogenin, ribonuclease A family, member 6	14		nucleolus			ISO	P03950 	J:164563 	
MGI:1097717	Ankrd1	ankyrin repeat domain 1 (cardiac muscle)	19		fibrillar center			ISO	Q15327 	J:164563 	
MGI:1914878	Anp32b	acidic (leucine-rich) nuclear phosphoprotein 32 family, member B	4	colocalizes_with	nucleolus			ISO	Q92688 	J:164563 	
MGI:1919311	Aopep	aminopeptidase O	13		nucleolus			IBA	PTN000898498 	J:265628 	
MGI:1919311	Aopep	aminopeptidase O	13		nucleolus			IDA		J:152135 	
MGI:88042	Apex1	apurinic/apyrimidinic endonuclease 1	14		nucleolus			ISO	P27695 	J:164563 	
MGI:1924872	Apex2	apurinic/apyrimidinic endonuclease 2	X		fibrillar center			ISO	Q9UBZ4 	J:164563 	
MGI:1913658	Aptx	aprataxin	4		nucleolus			ISO	Q7Z2E3 	J:164563 	
MGI:2442988	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)	1		nucleolus			ISO	Q9Y6D6 	J:164563 	
MGI:2450166	Arhgap32	Rho GTPase activating protein 32	9		fibrillar center			IBA	PTN002696576 	J:265628 	
MGI:2450166	Arhgap32	Rho GTPase activating protein 32	9		fibrillar center			ISO	A7KAX9 	J:164563 	
MGI:2443039	Arid5a	AT rich interactive domain 5A (MRF1-like)	1		nucleolus			ISO	Q03989 	J:164563 	
MGI:1928393	Arl2	ADP-ribosylation factor-like 2	19		nucleolus			ISO	P36404 	J:164563 	
MGI:99437	Arl4a	ADP-ribosylation factor-like 4A	12		nucleolus			ISO	P40617 	J:164563 	
MGI:1926020	Arl14ep	ADP-ribosylation factor-like 14 effector protein	2		nucleolus			ISO	Q8N8R7 	J:164563 	
MGI:2684845	Arntl2	aryl hydrocarbon receptor nuclear translocator-like 2	6		nucleolus			ISO	Q8WYA1 	J:164563 	
MGI:109384	Atf3	activating transcription factor 3	1		nucleolus			ISO	P18847 	J:164563 	
MGI:107202	Atm	ataxia telangiectasia mutated	9		nucleolus			ISO	Q13315 	J:164563 	
MGI:1859660	Atp8b2	ATPase, class I, type 8B, member 2	3		nucleolus			ISO	P98198 	J:164563 	
MGI:104783	Atxn1	ataxin 1	13		nucleolus			ISO	P54253 	J:164563 	
MGI:3694797	Atxn1l	ataxin 1-like	8		nucleolus			ISO	P0C7T5 	J:164563 	
MGI:1099442	Atxn3	ataxin 3	12		nucleolus			ISO	P54252 	J:164563 	
MGI:2140475	AU040320	expressed sequence AU040320	4		nucleolus			ISO	Q8IZA0 	J:164563 	
MGI:1925491	Batf3	basic leucine zipper transcription factor, ATF-like 3	1		nucleolus			ISO	Q9NR55 	J:164563 	
MGI:1353499	Baz1b	bromodomain adjacent to zinc finger domain, 1B	5		B-WICH complex			ISO	Q9UIG0 	J:164563 	
MGI:1353499	Baz1b	bromodomain adjacent to zinc finger domain, 1B	5		nucleolus			IC		J:319968 	
MGI:2151152	Baz2a	bromodomain adjacent to zinc finger domain, 2A	10		nucleolus			IC		J:111312 	
MGI:2151152	Baz2a	bromodomain adjacent to zinc finger domain, 2A	10		nucleolus			IDA		J:71381 J:100129 J:111312 J:150911 J:150958 	
MGI:2136782	BC004004	cDNA sequence BC004004	17		nucleolus			IBA	PTN002859631 	J:265628 	
MGI:2136782	BC004004	cDNA sequence BC004004	17		nucleolus			ISO	Q6UWU4 	J:164563 	
MGI:88137	Bckdhb	branched chain ketoacid dehydrogenase E1, beta polypeptide	9		nucleolus			ISO	P21953 	J:164563 	
MGI:107187	Bcl6	B cell leukemia/lymphoma 6	16		nucleolus			ISO	P41182 	J:164563 	
MGI:1933114	Bcl9l	B cell CLL/lymphoma 9-like	9		nucleolus			ISO	Q86UU0 	J:164563 	
MGI:2677212	Bend3	BEN domain containing 3	10		nucleolus			ISO	Q5T5X7 	J:164563 	
MGI:1328362	Blm	Bloom syndrome, RecQ like helicase	7		nucleolus			ISO	P54132 	J:164563 	
MGI:2446132	Bms1	BMS1, ribosome biogenesis factor	6		nucleolus			ISO	Q14692 	J:164563 	
MGI:1097164	Bnc1	basonuclin 1	7		nucleolus			IDA		J:292593 	
MGI:109327	Bnip2	BCL2/adenovirus E1B interacting protein 2	9		nucleolus			ISO	Q12982 	J:164563 	
MGI:1334460	Bop1	block of proliferation 1	15		nucleolus			IDA		J:148061 	
MGI:1334460	Bop1	block of proliferation 1	15		nucleolus			ISO	Q14137 	J:164563 	
MGI:1334460	Bop1	block of proliferation 1	15		PeBoW complex			IBA	PTN000426773 	J:265628 	
MGI:1334460	Bop1	block of proliferation 1	15		PeBoW complex			ISO	Q14137 	J:73065 	
MGI:1888520	Brd4	bromodomain containing 4	17	NOT	nucleolus			IDA		J:101015 	
MGI:1915082	Brix1	BRX1, biogenesis of ribosomes	15		nucleolus			IBA	PTN000341804 	J:265628 	
MGI:1915082	Brix1	BRX1, biogenesis of ribosomes	15		nucleolus			ISO	Q8TDN6 	J:164563 	
MGI:1890651	Brwd1	bromodomain and WD repeat domain containing 1	16		nucleolus			ISO	Q9NSI6 	J:164563 	
MGI:1916065	Btbd10	BTB (POZ) domain containing 10	7		fibrillar center			ISO	Q9BSF8 	J:164563 	
MGI:1347001	Btd	biotinidase	14		nucleolus	is a part of cochlear ganglion,is a part of neuron		IDA		J:102418 	
MGI:1913388	Bud23	BUD23, rRNA methyltransferase and ribosome maturation factor	5		nucleolus			IBA	PTN000296553 	J:265628 	
MGI:1913388	Bud23	BUD23, rRNA methyltransferase and ribosome maturation factor	5		nucleolus			ISO	O43709 	J:164563 	
MGI:1858419	Bysl	bystin-like	17		nucleolus			IBA	PTN000302374 	J:265628 	
MGI:1858419	Bysl	bystin-like	17		nucleolus	is a part of compacted morula|is a part of 4-8 cell stage embryo		IDA		J:118938 	
MGI:1858419	Bysl	bystin-like	17		nucleolus			IDA		J:117651 	
MGI:1858419	Bysl	bystin-like	17		nucleolus			ISO	Q13895 	J:164563 	
MGI:1927354	C1d	C1D nuclear receptor co-repressor	11		nucleolus			IBA	PTN000393928 	J:265628 	
MGI:1927354	C1d	C1D nuclear receptor co-repressor	11		nucleolus			ISO	Q13901 	J:164563 	
MGI:3645763	C2cd4a	C2 calcium-dependent domain containing 4A	9		nucleolus			ISO	Q8NCU7 	J:164563 	
MGI:3612702	C130026I21Rik	RIKEN cDNA C130026I21 gene	1		fibrillar center			ISO	Q13342 	J:164563 	
MGI:103301	Cacnb4	calcium channel, voltage-dependent, beta 4 subunit	2		nucleolus			ISO	RGD:68385 	J:155856 	
MGI:88258	Camk4	calcium/calmodulin-dependent protein kinase IV	18		fibrillar center			ISO	Q16566 	J:164563 	
MGI:2140230	Camta1	calmodulin binding transcription activator 1	4		nucleolus			ISO	Q9Y6Y1 	J:164563 	
MGI:1098259	Capg	capping protein (actin filament), gelsolin-like	6		nucleolus			ISO	P40121 	J:164563 	
MGI:107437	Capn3	calpain 3	2		nucleolus			ISO	P20807 	J:164563 	
MGI:2182269	Carf	calcium response factor	1		granular component			IDA		J:79357 	
MGI:1309489	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	X		nucleolus			ISO	O14936 	J:164563 	
MGI:97295	Casp2	caspase 2	6		nucleolus			IC		J:246097 	
MGI:1312921	Casp6	caspase 6	3		nucleolus			ISO	P55212 	J:164563 	
MGI:109372	Cbx5	chromobox 5	15		nucleolus			IDA		J:55698 	
MGI:109372	Cbx5	chromobox 5	15		nucleolus			ISO	P45973 	J:164563 	
MGI:2384831	Cc2d1a	coiled-coil and C2 domain containing 1A	8		fibrillar center			ISO	Q6P1N0 	J:164563 	
MGI:1277220	Ccdc86	coiled-coil domain containing 86	19		nucleolus			IBA	PTN001005466 	J:265628 	
MGI:1277220	Ccdc86	coiled-coil domain containing 86	19		nucleolus			ISO	Q9H6F5 	J:164563 	
MGI:1914541	Ccdc137	coiled-coil domain containing 137	11		fibrillar center			ISO	Q6PK04 	J:164563 	
MGI:1914541	Ccdc137	coiled-coil domain containing 137	11		nucleolus			ISO	Q6PK04 	J:164563 	
MGI:88314	Ccnd2	cyclin D2	6		nucleolus			ISO	P30279 	J:164563 	
MGI:2145534	Ccno	cyclin O	13		nucleolus			ISO	P22674 	J:164563 	
MGI:1328363	Ccnt1	cyclin T1	15	NOT	nucleolus			ISO	O60563 	J:101015 	
MGI:106185	Ccr2	chemokine (C-C motif) receptor 2	9		fibrillar center			ISO	P41597 	J:164563 	
MGI:1330281	Cd2ap	CD2-associated protein	17		fibrillar center			ISO	Q9Y5K6 	J:164563 	
MGI:1917483	Cd2bp2	CD2 cytoplasmic tail binding protein 2	7		fibrillar center			ISO	O95400 	J:164563 	
MGI:1917583	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	7		fibrillar center			ISO	O15446 	J:164563 	
MGI:1917583	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	7		nucleolus			IDA		J:91576 	
MGI:1917583	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	7		RNA polymerase I complex			IBA	PTN001435520 	J:265628 	
MGI:1917583	Cd3eap	CD3E antigen, epsilon polypeptide associated protein	7		RNA polymerase I complex			IDA		J:91576 	
MGI:1194924	Cd180	CD180 antigen	13		nucleolus			ISO	Q99467 	J:164563 	
MGI:2442676	Cdc14a	CDC14 cell division cycle 14A	3		nucleolus			IBA	PTN000596949 	J:265628 	
MGI:2441808	Cdc14b	CDC14 cell division cycle 14B	13		nucleolus			IBA	PTN000596949 	J:265628 	
MGI:2441808	Cdc14b	CDC14 cell division cycle 14B	13		nucleolus			ISO	O60729 	J:164563 	
MGI:2384982	Cdca7l	cell division cycle associated 7 like	12		fibrillar center			ISO	Q96GN5 	J:164563 	
MGI:2384982	Cdca7l	cell division cycle associated 7 like	12		nucleolus			ISO	Q96GN5 	J:164563 	
MGI:1196274	Cdca8	cell division cycle associated 8	4		nucleolus			ISO	Q53HL2 	J:164563 	
MGI:88357	Cdk4	cyclin-dependent kinase 4	10		nucleolus			ISO	P11802 	J:164563 	
MGI:101765	Cdk5	cyclin-dependent kinase 5	5	NOT	nucleolus			IDA		J:36350 	
MGI:102956	Cdk7	cyclin-dependent kinase 7	13		fibrillar center			ISO	P50613 	J:164563 	
MGI:1196224	Cdk8	cyclin-dependent kinase 8	5		nucleolus			ISO	P49336 	J:188596 	
MGI:104556	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21)	17		nucleolus			ISO	P38936 	J:188596 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		granular component			IDA		J:79357 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		nucleolus	is a part of fibroblast		IDA		J:94174 J:101353 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		nucleolus			IDA		J:72910 J:94162 J:99711 J:138546 	
MGI:104738	Cdkn2a	cyclin dependent kinase inhibitor 2A	4		nucleolus			ISO	Q8N726 	J:164563 	
MGI:1918175	Cdkn2aip	CDKN2A interacting protein	8		granular component			ISO	Q9NXV6 	J:164563 	
MGI:1918175	Cdkn2aip	CDKN2A interacting protein	8		nucleolus			IBA	PTN000414335 	J:265628 	
MGI:1918175	Cdkn2aip	CDKN2A interacting protein	8		nucleolus			ISO	Q9NXV6 	J:164563 	
MGI:1261797	Cdkn2aipnl	CDKN2A interacting protein N-terminal like	11		nucleolus			IBA	PTN000414335 	J:265628 	
MGI:99480	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	7		nucleolus			ISO	RGD:2326 	J:155856 	
MGI:99480	Cebpa	CCAAT/enhancer binding protein (C/EBP), alpha	7		nucleolus			ISO	P49715 	J:164563 	
MGI:1890373	Cemip2	cell migration inducing hyaluronidase 2	19		nucleolus			ISO	Q9UHN6 	J:164563 	
MGI:1349448	Cenph	centromere protein H	13		nucleolus			ISO	Q9H3R5 	J:164563 	
MGI:1913586	Cenpp	centromere protein P	13		nucleolus			ISO	Q6IPU0 	J:164563 	
MGI:1917262	Cep85	centrosomal protein 85	4		nucleolus			ISO	Q6P2H3 	J:164563 	
MGI:3037816	Cerkl	ceramide kinase-like	2		nucleolus			ISO	Q49MI3 	J:164563 	
MGI:1913371	Chchd1	coiled-coil-helix-coiled-coil-helix domain containing 1	14		fibrillar center			ISO	Q96BP2 	J:164563 	
MGI:1344395	Chd3	chromodomain helicase DNA binding protein 3	11		nucleolus			ISO	Q12873 	J:164563 	
MGI:2444748	Chd7	chromodomain helicase DNA binding protein 7	4		nucleolus			ISO	Q9P2D1 	J:164563 	
MGI:1917511	Chp2	calcineurin-like EF hand protein 2	7		nucleolus			ISO	O43745 	J:164563 	
MGI:1922083	Ciapin1	cytokine induced apoptosis inhibitor 1	8		nucleolus			IDA		J:159147 	
MGI:1922083	Ciapin1	cytokine induced apoptosis inhibitor 1	8		nucleolus			ISO	Q6FI81 	J:164563 	
MGI:1934157	Cilk1	ciliogenesis associated kinase 1	9		fibrillar center			ISO	Q9UPZ9 	J:164563 	
MGI:1919185	Cipc	CLOCK interacting protein, circadian	12		nucleolus			ISO	Q9C0C6 	J:164563 	
MGI:1923036	Ckap5	cytoskeleton associated protein 5	2		nucleolus			ISO	Q14008 	J:164563 	
MGI:104540	Clec3b	C-type lectin domain family 3, member b	9		granular component			ISO	P05452 	J:164563 	
MGI:2159324	Cln6	ceroid-lipofuscinosis, neuronal 6	9		nucleolus			ISO	Q9NWW5 	J:164563 	
MGI:99698	Clock	circadian locomotor output cycles kaput	5		nucleolus			ISO	RGD:620271 	J:155856 	
MGI:1913838	Cmpk1	cytidine monophosphate (UMP-CMP) kinase 1	4		nucleolus			ISO	P30085 	J:164563 	
MGI:2685013	Cog7	component of oligomeric golgi complex 7	7		nucleolus			ISO	P83436 	J:164563 	
MGI:104842	Coil	coilin	11		fibrillar center			ISO	P38432 	J:164563 	
MGI:104842	Coil	coilin	11		nucleolus			ISO	P38432 	J:164563 	
MGI:106015	Cox7a2l	cytochrome c oxidase subunit 7A2 like	17		nucleolus			ISO	O14548 	J:164563 	
MGI:1917633	Cox10	heme A:farnesyltransferase cytochrome c oxidase assembly factor 10	11		nucleolus			ISO	Q12887 	J:164563 	
MGI:1917818	Cpne3	copine III	4		nucleolus			ISO	O75131 	J:164563 	
MGI:891996	Cps1	carbamoyl-phosphate synthetase 1	1		nucleolus			ISO	P31327 	J:164563 	
MGI:109176	Cpt2	carnitine palmitoyltransferase 2	4		nucleolus			ISO	P23786 	J:164563 	
MGI:1336168	Cradd	CASP2 and RIPK1 domain containing adaptor with death domain	10		nucleolus			IC		J:246097 	
MGI:109514	Cstb	cystatin B	10		nucleolus			ISO	P04080 	J:164563 	
MGI:109447	Ctcf	CCCTC-binding factor	8		nucleolus			ISO	P49711 	J:164563 	
MGI:88564	Ctsl	cathepsin L	13		nucleolus			IDA		J:172943 	
MGI:1918995	Cul2	cullin 2	18		nucleolus			IDA		J:100984 	
MGI:1913638	Cutc	cutC copper transporter	19		nucleolus			ISO	Q9NTM9 	J:164563 	
MGI:2686925	Cyb561a3	cytochrome b561 family, member A3	19		nucleolus			ISO	Q8NBI2 	J:164563 	
MGI:109175	Dab2	disabled 2, mitogen-responsive phosphoprotein	15		fibrillar center			ISO	P98082 	J:164563 	
MGI:2445220	Dcaf1	DDB1 and CUL4 associated factor 1	9		fibrillar center			ISO	Q9Y4B6 	J:164563 	
MGI:2684929	Dcaf13	DDB1 and CUL4 associated factor 13	15		nucleolus			IBA	PTN000523215 	J:265628 	
MGI:2684929	Dcaf13	DDB1 and CUL4 associated factor 13	15		nucleolus			ISO	Q9NV06 	J:164563 	
MGI:1930042	Dclre1a	DNA cross-link repair 1A	19		fibrillar center			ISO	Q6PJP8 	J:164563 	
MGI:1859251	Dctn3	dynactin 3	4		nucleolus			ISO	O75935 	J:164563 	
MGI:1924256	Ddrgk1	DDRGK domain containing 1	2		nucleolus			ISO	Q96HY6 	J:164563 	
MGI:105037	Ddx5	DEAD box helicase 5	11		nucleolus			ISO	P17844 	J:164563 	
MGI:104976	Ddx6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	9		nucleolus			ISO	RGD:1564560 	J:155856 	
MGI:2443590	Ddx11	DEAD/H box helicase 11	17		nucleolus			ISO	Q96FC9 	J:164563 	
MGI:1914192	Ddx18	DEAD box helicase 18	1		nucleolus			IBA	PTN002775131 	J:265628 	
MGI:1914192	Ddx18	DEAD box helicase 18	1		nucleolus			ISO	Q9NVP1 	J:164563 	
MGI:1860494	Ddx21	DExD box helicase 21	10		B-WICH complex			ISO	Q9NR30 	J:164563 	
MGI:1860494	Ddx21	DExD box helicase 21	10		nucleolus			IBA	PTN002777480 	J:265628 	
MGI:1860494	Ddx21	DExD box helicase 21	10		nucleolus			IC		J:319968 	
MGI:1860494	Ddx21	DExD box helicase 21	10		nucleolus			ISO	Q9NR30 	J:164563 	
MGI:1860494	Ddx21	DExD box helicase 21	10		nucleolus			ISS		J:62861 	
MGI:1921601	Ddx23	DEAD box helicase 23	15		nucleolus			ISO	Q9BUQ8 	J:164563 	
MGI:1351337	Ddx24	DEAD box helicase 24	12		nucleolus			IBA	PTN002772908 	J:265628 	
MGI:1351337	Ddx24	DEAD box helicase 24	12		nucleolus			ISO	Q9GZR7 	J:164563 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		nucleolus			IBA	PTN002773100 	J:265628 	
MGI:2385884	Ddx27	DEAD box helicase 27	2		nucleolus			ISO	Q96GQ7 	J:164563 	
MGI:1919236	Ddx28	DEAD box helicase 28	8		nucleolus			ISO	Q9NUL7 	J:164563 	
MGI:2682639	Ddx31	DEAD/H box helicase 31	2		nucleolus			ISO	Q9H8H2 	J:164563 	
MGI:1920895	Ddx46	DEAD box helicase 46	13		fibrillar center			ISO	Q7L014 	J:164563 	
MGI:1915005	Ddx47	DEAD box helicase 47	6		nucleolus			ISO	Q9H0S4 	J:164563 	
MGI:2182303	Ddx50	DExD box helicase 50	10		nucleolus			IBA	PTN002777480 	J:265628 	
MGI:2182303	Ddx50	DExD box helicase 50	10		nucleolus			ISO	Q9BQ39 	J:164563 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		nucleolus			IBA	PTN002773383 	J:265628 	
MGI:1919240	Ddx54	DEAD box helicase 54	5		nucleolus			ISO	Q8TDD1 	J:164563 	
MGI:1915098	Ddx55	DEAD box helicase 55	5		nucleolus			IBA	PTN002773818 	J:265628 	
MGI:1915098	Ddx55	DEAD box helicase 55	5		nucleolus			ISO	Q8NHQ9 	J:164563 	
MGI:1277172	Ddx56	DEAD box helicase 56	11		nucleolus			IBA	PTN002772752 	J:265628 	
MGI:1277172	Ddx56	DEAD box helicase 56	11		nucleolus			IDA		J:70953 	
MGI:1277172	Ddx56	DEAD box helicase 56	11		nucleolus			ISO	Q9NY93 	J:164563 	
MGI:1858496	Deaf1	DEAF1, transcription factor	7		fibrillar center			ISO	O75398 	J:164563 	
MGI:1333874	Dedd	death effector domain-containing	1		nucleolus			IBA	PTN001279360 	J:265628 	
MGI:1333874	Dedd	death effector domain-containing	1		nucleolus			IDA		J:50530 	
MGI:1914629	Dedd2	death effector domain-containing DNA binding protein 2	7		nucleolus			IBA	PTN001279360 	J:265628 	
MGI:1914629	Dedd2	death effector domain-containing DNA binding protein 2	7		nucleolus			ISO	Q8WXF8 	J:164563 	
MGI:1926209	Dek	DEK proto-oncogene (DNA binding)	13		B-WICH complex			ISO	P35659 	J:164563 	
MGI:1926209	Dek	DEK proto-oncogene (DNA binding)	13		nucleolus			IC		J:319968 	
MGI:1196287	Dffb	DNA fragmentation factor, beta subunit	4		nucleolus			ISO	O76075 	J:164563 	
MGI:108177	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1		nucleolus			IBA	PTN001053532 	J:265628 	
MGI:108177	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1		nucleolus			IDA		J:87744 	
MGI:108177	Dhx9	DEAH (Asp-Glu-Ala-His) box polypeptide 9	1		nucleolus			ISO	Q08211 	J:164563 	
MGI:2445102	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	11		nucleolus		PR:000050061	EXP		J:271445 	
MGI:2445102	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	11		nucleolus		PR:Q80VY9-1	EXP		J:271445 	
MGI:2445102	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	11		nucleolus			IBA	PTN001053657 	J:265628 	
MGI:2445102	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	11		nucleolus			IDA		J:178781 	
MGI:2445102	Dhx33	DEAH (Asp-Glu-Ala-His) box polypeptide 33	11		nucleolus			ISO	Q9H6R0 	J:164563 	
MGI:3028576	Dhx37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	5		nucleolus			IBA	PTN000433605 	J:265628 	
MGI:3028576	Dhx37	DEAH (Asp-Glu-Ala-His) box polypeptide 37	5		nucleolus			ISO	Q8IY37 	J:164563 	
MGI:1858500	Diaph2	diaphanous related formin 2	X		nucleolus			ISO	O60879 	J:164563 	
MGI:1913504	Dimt1	DIM1 dimethyladenosine transferase 1-like (S. cerevisiae)	13		nucleolus			ISO	Q9UNQ2 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		box H/ACA snoRNP complex			IBA	PTN000565614 	J:265628 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		box H/ACA snoRNP complex			ISO	RGD:621780 	J:155856 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		box H/ACA snoRNP complex			ISO	O60832 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		fibrillar center			ISO	O60832 	J:164563 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		nucleolus			IDA		J:198728 	
MGI:1861727	Dkc1	dyskeratosis congenita 1, dyskerin	X		nucleolus			ISO	RGD:621780 	J:155856 	
MGI:1351618	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9	12		nucleolus			ISO	RGD:3070 	J:155856 	
MGI:99470	Dnajc2	DnaJ heat shock protein family (Hsp40) member C2	5		nucleolus			ISO	Q99543 	J:164563 	
MGI:1925371	Dnajc21	DnaJ heat shock protein family (Hsp40) member C21	15		nucleolus			ISO	Q5F1R6 	J:164563 	
MGI:1923483	Dnttip1	deoxynucleotidyltransferase, terminal, interacting protein 1	2		nucleolus			ISO	Q9H147 	J:164563 	
